idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
31	1	1	0.9939982190557052	1	55.91061019897461	0.0	0.6081481481481481	0:02:35.529100
32	1	1	0.9939982190557052	1	59.31667709350586	0.0	0.5725925925925925	0:02:35.635519
33	1	1	0.9939982190557052	1	74.48857879638672	1.9073486328125e-05	0.6081481481481481	0:02:35.453958
34	1	1	0.9939982190557052	1	41.907100677490234	1.2814998626708984e-05	0.6385185185185185	0:02:35.272501
35	1	1	0.9939982190557052	1	74.48857879638672	1.2516975402832031e-05	0.5962962962962962	0:02:35.527834
36	1	1	0.9939982190557052	1	61.134178161621094	1.8537044525146484e-05	0.6066666666666667	0:02:35.230691
37	1	1	0.9939982190557052	1	63.04127502441406	1.2874603271484375e-05	0.6133333333333333	0:02:35.520644
38	1	1	0.9939982190557052	1	40.69569778442383	0.00013524293899536133	0.5725925925925925	0:02:35.339648
39	1	1	0.9939982190557052	1	39.50905990600586	0.00016325712203979492	0.5703703703703703	0:02:35.492059
40	1	1	0.9939982190557052	1	39.50905990600586	0.0	0.5740740740740741	0:02:35.339580
41	1	1	0.9939982190557052	1	55.91061019897461	3.814697265625e-05	0.62	0:02:35.233665
42	1	1	0.9939982190557052	1	36.08189392089844	7.724761962890625e-05	0.5985185185185184	0:02:35.180611
43	1	1	0.9939982190557052	1	26.716426849365234	0.00018918514251708984	0.6362962962962962	0:02:35.065752
44	1	1	0.9939982190557052	1	57.57838439941406	1.2516975402832031e-05	0.5866666666666667	0:02:35.534206
45	1	1	0.9939982190557052	1	24.77587127685547	5.632638931274414e-05	0.5807407407407407	0:02:35.021527
46	1	1	0.9939982190557052	1	74.48857879638672	0.0	0.5785185185185185	0:02:34.882213
47	1	1	0.9939982190557052	1	54.3060302734375	0.0	0.6148148148148148	0:02:34.977371
48	1	1	0.9939982190557052	1	59.31667709350586	1.3172626495361328e-05	0.6155555555555555	0:02:34.750829
49	1	1	0.9939982190557052	1	59.31667709350586	7.617473602294922e-05	0.5555555555555556	0:02:35.007799
50	1	1	0.9939982190557052	1	67.17767333984375	1.2874603271484375e-05	0.6088888888888888	0:02:35.032244
51	1	1	0.9939982190557052	1	67.17767333984375	0.0	0.5681481481481481	0:02:35.189652
52	1	1	0.9939982190557052	1	49.81321334838867	0.00014066696166992188	0.6051851851851852	0:02:35.079661
53	1	1	0.9939982190557052	1	59.31667709350586	3.731250762939453e-05	0.6103703703703703	0:02:35.160949
54	1	1	0.9939982190557052	1	61.134178161621094	7.891654968261719e-05	0.6162962962962962	0:02:35.383292
55	1	1	0.9939982190557052	1	65.05059814453125	1.3172626495361328e-05	0.6192592592592592	0:02:35.348301
56	1	1	0.9939982190557052	1	54.3060302734375	4.506111145019531e-05	0.5525925925925925	0:02:35.282419
