idx	label	predict	pABar	correct	Rx	best_fair_value	cor_acc_value	time
47	1	1	0.9939982190557056	1	12.045866012573242	0.12166845798492432	0.888235294117647	0:03:41.997594
48	1	1	0.9939982190557056	1	12.045866012573242	0.12694445252418518	0.8894117647058822	0:03:41.417635
49	1	1	0.9939982190557056	1	12.045866012573242	0.13423830270767212	0.8952941176470588	0:03:41.873016
50	1	1	0.9939982190557056	1	12.045866012573242	0.1174585223197937	0.8894117647058822	0:03:41.672605
51	1	1	0.9939982190557056	1	12.045866012573242	0.12063226103782654	0.8917647058823529	0:03:41.466569
52	1	1	0.9939982190557056	1	12.045866012573242	0.10550066828727722	0.9035294117647058	0:03:41.690215
53	1	1	0.9939982190557056	1	12.045866012573242	0.12852415442466736	0.888235294117647	0:03:41.668839
54	1	1	0.9939982190557056	1	12.045866012573242	0.0979110598564148	0.8952941176470588	0:03:41.423938
55	1	1	0.9939982190557056	1	12.045866012573242	0.11878472566604614	0.9023529411764705	0:03:42.612749
56	1	1	0.9939982190557056	1	12.045866012573242	0.11274507641792297	0.8999999999999999	0:03:41.129548
57	1	1	0.9939982190557056	1	4.981321334838867	0.14373742043972015	0.8952941176470588	0:03:41.739500
58	1	1	0.9939982190557056	1	12.045866012573242	0.13628286123275757	0.8917647058823529	0:03:41.841420
59	1	1	0.9939982190557056	1	12.045866012573242	0.11841464042663574	0.8941176470588235	0:03:37.634849
60	1	1	0.9939982190557056	1	12.045866012573242	0.11474499106407166	0.8858823529411763	0:03:34.417201
61	1	1	0.9939982190557056	1	12.045866012573242	0.11350229382514954	0.8905882352941176	0:03:35.248083
62	1	1	0.9939982190557056	1	12.045866012573242	0.10399630665779114	0.8941176470588235	0:03:37.022309
63	1	1	0.9939982190557056	1	12.045866012573242	0.09433543682098389	0.8811764705882352	0:03:36.023889
64	1	1	0.9939982190557056	1	12.045866012573242	0.08139824867248535	0.8917647058823529	0:03:36.795582
65	1	1	0.9939982190557056	1	12.045866012573242	0.12399402260780334	0.8941176470588235	0:03:37.073653
66	1	1	0.9939982190557056	1	12.045866012573242	0.12685620784759521	0.8952941176470588	0:03:36.079872
67	1	1	0.9939982190557056	1	12.045866012573242	0.11416664719581604	0.8894117647058822	0:03:36.221941
68	1	1	0.9939982190557056	1	12.045866012573242	0.13745999336242676	0.8894117647058822	0:03:36.845342
69	1	1	0.9939982190557056	1	12.045866012573242	0.11487147212028503	0.8776470588235293	0:03:35.811990
70	1	1	0.9939982190557056	1	12.045866012573242	0.1199006736278534	0.8952941176470588	0:03:34.836096
71	1	1	0.9939982190557056	1	12.045866012573242	0.12179222702980042	0.9035294117647058	0:03:36.605520
72	1	1	0.9939982190557056	1	12.045866012573242	0.13456156849861145	0.8847058823529411	0:03:35.842362
73	1	1	0.9939982190557056	1	12.045866012573242	0.1222638189792633	0.8929411764705881	0:03:33.260676
74	1	1	0.9939982190557056	1	12.045866012573242	0.11050772666931152	0.8905882352941176	0:03:35.759460
75	1	1	0.9939982190557056	1	12.045866012573242	0.11122933030128479	0.8894117647058822	0:03:35.250378
76	1	1	0.9939982190557056	1	12.045866012573242	0.11174583435058594	0.8952941176470588	0:03:33.191947
77	1	1	0.9939982190557056	1	12.045866012573242	0.10826343297958374	0.8976470588235294	0:03:35.058964
78	1	1	0.9939982190557056	1	12.045866012573242	0.12181785702705383	0.8941176470588235	0:03:35.723410
79	1	1	0.9939982190557056	1	12.045866012573242	0.11234632134437561	0.8905882352941176	0:03:34.831092
80	1	1	0.9939982190557056	1	12.045866012573242	0.12511105835437775	0.8823529411764706	0:03:35.653237
81	1	1	0.9939982190557056	1	12.045866012573242	0.11612802743911743	0.888235294117647	0:03:36.591549
82	1	1	0.9939982190557056	1	12.045866012573242	0.1274797022342682	0.8952941176470588	0:03:34.116530
83	1	1	0.9939982190557056	1	12.045866012573242	0.1040794849395752	0.896470588235294	0:03:35.819917
84	1	1	0.9939982190557056	1	12.045866012573242	0.10671314597129822	0.8894117647058822	0:03:36.652058
85	1	1	0.9939982190557056	1	12.045866012573242	0.11437690258026123	0.8917647058823529	0:03:33.799005
86	1	1	0.9939982190557056	1	12.045866012573242	0.11179178953170776	0.8917647058823529	0:03:35.084904
87	1	1	0.9939982190557056	1	12.045866012573242	0.09457001090049744	0.8917647058823529	0:03:34.724394
88	1	1	0.9939982190557056	1	12.045866012573242	0.1128576397895813	0.8917647058823529	0:03:35.320874
89	1	1	0.9939982190557056	1	12.045866012573242	0.1117214560508728	0.8929411764705881	0:03:37.693577
90	1	1	0.9939982190557056	1	12.045866012573242	0.10648766160011292	0.8929411764705881	0:03:37.722843
91	1	1	0.9939982190557056	1	12.045866012573242	0.10029366612434387	0.896470588235294	0:03:35.723350
92	1	1	0.9939982190557056	1	12.045866012573242	0.11664751172065735	0.8894117647058822	0:03:36.882582
